:ID,:LABEL,text
building,object,building
consisting_primarily_of_one_storey,quality,consisting primarily of one storey
200_m2,value,200 m2
fire_compartmented,quality,fire-compartmented
50_m2,value,50 m2
non_fire_compartmented,quality,non-fire-compartmented
areas,object,areas
essentially_relate_to_the_business_of_the_building,quality,essentially relate to the business of the building
located_on_the_level_of_second_storey,quality,located on the level of second storey
facilities,object,facilities
suitable_for_persons_with_mobility_and_functional_impairment,quality,suitable for persons with mobility and functional impairment
marked_with_the_International_Symbol_of_Access,quality,marked with the International Symbol of Access
lift,object,lift
provide_access,quality,provide access
entrance_level,property,entrance level
level_with_entry,property,level with entry
dwelling,object,dwelling
space,object,space
serving_the_use_of_the_building,quality,serving the use of the building
Attics,object,Attics
uppermost,quality,uppermost
floor_voids,object,floor voids
divided_into_400_m2_parts,quality,divided into 400 m2 parts
landing,object,landing
in_front_of_the_outside_door,quality,in front of the outside door
1_500_millimetres,value,"1,500 millimetres"
wide,property,wide
long,property,long
rooms,object,rooms
used_for_sleeping_or_rest,quality,used for sleeping or rest
one_hour_A_weighted_equivalent_continuous_sound_level_of_impulsive___narrow_band_or_low_frequency_noise,property,"one-hour A-weighted equivalent continuous sound level of impulsive , narrow-band or low-frequency noise"
25_decibels,value,25 decibels
Storage_premises,object,Storage premises
fire_load,property,fire load
1_200_MJ_m2,value,"1,200 MJ/m2"
not_permitted_within_the_building,quality,not permitted within the building
domestic,quality,domestic
hot_water_cylinder,object,hot water cylinder
located_inside_the_building_envelope,quality,located inside the building envelope
50,value,50
calculated,quality,calculated
domestic_hot_water_cylinder_heat_loss,property,domestic hot water cylinder heat loss
added_to_the_thermal_load_of_the_spaces_of_the_building,quality,added to the thermal load of the spaces of the building
sound_system,object,sound system
auditorium,object,auditorium
restaurant,object,restaurant
conference_facility,object,conference facility
facility_for_festive_occasions,object,facility for festive occasions
teaching_facility,object,teaching facility
similar_assembly_facility,object,similar assembly facility
public_service_facility,object,public service facility
induction_loop,object,induction loop
similar_sound_transmission_system,object,similar sound transmission system
spread_of_fire,property,spread of fire
voids,object,voids
wall_type,quality,wall-type
building_elements,object,building elements
restricted_at_least_by_storey,quality,restricted at least by storey
intended_for_service_housing_or_supported_housing_of_a_person_with_mobility_and_functional_impairment,quality,intended for service housing or supported housing of a person with mobility and functional impairment
turning_space,object,turning space
diameter,property,diameter
hallway,object,hallway
kitchen,object,kitchen
dwellings,object,dwellings
accommodation,object,accommodation
patient_rooms,object,patient rooms
designed_and_implemented,quality,designed and implemented
reverberation_time,property,reverberation time
staircase,object,staircase
exit_route,object,exit route
1_3_seconds,value,1.3 seconds
Spaces,object,Spaces
non_residential_building,object,non-residential building
